Hero,Genji,Hanzo,Mercy,Ana,Kiriko,Reinhardt,Zarya,Tracer
Genji,0.9999999999999997,0.872609970770096,-0.49690983400709215,0.16906249608824772,0.03168227520242472,-0.622773323532415,-0.3369555999590589,0.5068067779746913
Hanzo,0.872609970770096,0.9999999999999998,-0.12188949090962709,0.12560722758985826,-0.23494638498506776,-0.40569519433088064,-0.47951265098288276,0.6181548126913952
Mercy,-0.49690983400709215,-0.12188949090962709,1.0000000000000002,-0.0711028694528518,-0.05317008092929725,0.38071015102321476,-0.31033474166067976,0.20230271256683843
Ana,0.16906249608824772,0.12560722758985826,-0.0711028694528518,1.0,0.17738218300176609,-0.3279954175271082,0.22924236891471528,-0.5437608045148187
Kiriko,0.03168227520242472,-0.23494638498506776,-0.05317008092929725,0.17738218300176609,0.9999999999999999,-0.4307099672912121,0.1277597656136939,0.05512087380315974
Reinhardt,-0.622773323532415,-0.40569519433088064,0.38071015102321476,-0.3279954175271082,-0.4307099672912121,1.0,0.512235161994327,-0.2571937989324743
Zarya,-0.3369555999590589,-0.47951265098288276,-0.31033474166067976,0.22924236891471528,0.1277597656136939,0.512235161994327,0.9999999999999998,-0.6946474822242997
Tracer,0.5068067779746913,0.6181548126913952,0.20230271256683843,-0.5437608045148187,0.05512087380315974,-0.2571937989324743,-0.6946474822242997,1.0
