Hero,similarity
Reinhardt,0.9036843740292541
Zarya,0.8306557518031025
Mercy,0.09208774642483747
Ana,-0.09834364146756319
Kiriko,-0.21552986161463455
Hanzo,-0.5020840241866097
Tracer,-0.5130720508703797
Genji,-0.5717395553254876
