Hero,similarity
Ana,0.5996801820585299
Kiriko,0.591599956692855
Mercy,0.5598603272184415
Hanzo,-0.026858044676122447
Tracer,-0.04944373653813479
Ramattra,-0.08166745410516116
Zarya,-0.11381701611234693
Genji,-0.11485085988060124
Reinhardt,-0.22358110697193426
